-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.160, 0.429,  0.346
-183.773, 80.141, 0.595,  0.379
-183.758, 80.118, 0.705,  0.412
-183.740, 80.092, 0.845,  0.445
-183.719, 80.060, 1.014,  0.478
-183.696, 80.022, 1.203,  0.511
-183.671, 79.978, 1.416,  0.544
-183.645, 79.927, 1.629,  0.577
-183.618, 79.870, 1.817,  0.610
-183.591, 79.808, 1.946,  0.643
-183.564, 79.745, 2.021,  0.676
-183.537, 79.681, 2.059,  0.709
-183.510, 79.616, 2.071,  0.742
-183.483, 79.552, 2.061,  0.775
-183.456, 79.489, 2.037,  0.808
-183.430, 79.427, 2.002,  0.841
-183.404, 79.367, 1.958,  0.874
-183.377, 79.309, 1.910,  0.907
-183.352, 79.252, 1.857,  0.940
-183.326, 79.197, 1.802,  0.973
-183.301, 79.144, 1.746,  1.006
-183.276, 79.094, 1.663,  1.039
-183.252, 79.045, 1.599,  1.072
-183.228, 78.999, 1.550,  1.105
-183.204, 78.954, 1.518,  1.138
-183.180, 78.909, 1.504,  1.171
-183.156, 78.864, 1.508,  1.204
-183.131, 78.819, 1.530,  1.237
-183.105, 78.772, 1.567,  1.270
-183.080, 78.724, 1.613,  1.303
-183.053, 78.675, 1.663,  1.336
-183.026, 78.624, 1.709,  1.369
-182.999, 78.571, 1.745,  1.402
-182.972, 78.519, 1.770,  1.435
-182.944, 78.465, 1.781,  1.468
-182.917, 78.412, 1.782,  1.501
-182.890, 78.359, 1.775,  1.534
-182.863, 78.306, 1.762,  1.567
-182.837, 78.254, 1.747,  1.600
-182.811, 78.203, 1.731,  1.633
-182.784, 78.152, 1.718,  1.666
-182.758, 78.101, 1.709,  1.699
-182.732, 78.050, 1.705,  1.732
